"a). Catch(2019) = Zero"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"6","1140248.18370323","830379.236517535","1614236.03224394","0.315709393497243","0.348672955120809","0.734387354647372"," ","","","",""
"7","1380998.65609648","715722.004144895","504319.276581229","0.325073101698271","0.359014338293401","0.756168742965496"," ","","","",""
"8","1075660.15783485","858759.648141389","430211.733466128","0.325073101698271","0.359014338293401","0.756168742965496"," ","","","",""
"9","619201.793229243","668888.079350482","516189.909934467","0.325073101698271","0.359014338293401","0.756168742965496"," ","","","",""
"10","389104.221385326","385044.193732302","402060.434701884","0.325073101698271","0.359014338293401","0.756168742965496"," ","","","",""
"11","344221.890613364","241960.412323419","231445.350411647","0.325073101698271","0.359014338293401","0.756168742965496"," ","","","",""
"12","274892.536745176","384989.866174449","376852.136091425","0.325073101698271","0.359014338293401","0.756168742965496"," ","","","",""
""
"d). Catch(2019) = 2018  +25%"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.00301294044994293","0.00669700352752314"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3773897.53425083","0.0118572513188509","0.0170145885184705","0.0378191209619525"," ","2019","3922769.51188606","0.410115380854771","1250698.75"
"2","5028684.08822179","4161806.55639056","3196341.79888371","0.0388398855940611","0.0557333781427734","0.123881183921177"," ","2020","3208199.75489241","0.911582621","2008339.93075738"
"3","2025719.533197","4163343.39255034","3387919.00553098","0.108403822967941","0.155554301079567","0.345757813789844"," ","","","",""
"4","3558913.83628159","1564429.37284614","3067197.10831466","0.200472019955196","0.287667760198475","0.639412572804206"," ","","","",""
"5","1254604.8902811","2506740.68184003","1009902.08369275","0.262693465630429","0.376952558733979","0.837870066631469"," ","","","",""
"6","1140248.18370323","830379.236517535","1479983.32001671","0.315709393497243","0.453027879507915","1.00696623698232"," ","","","",""
"7","1380998.65609648","715722.004144895","454344.003644593","0.325073101698271","0.466464352916742","1.03683211429101"," ","","","",""
"8","1075660.15783485","858759.648141389","386382.370494428","0.325073101698271","0.466464352916742","1.03683211429101"," ","","","",""
"9","619201.793229243","668888.079350482","463601.211940184","0.325073101698271","0.466464352916742","1.03683211429101"," ","","","",""
"10","389104.221385326","385044.193732302","361099.08623486","0.325073101698271","0.466464352916742","1.03683211429101"," ","","","",""
"11","344221.890613364","241960.412323419","207866.025436999","0.325073101698271","0.466464352916742","1.03683211429101"," ","","","",""
"12","274892.536745176","384989.866174449","338458.973435595","0.325073101698271","0.466464352916742","1.03683211429101"," ","","","",""
""
"e). Fbar(2019) = 0.24 (Fmp)"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.001763176271222","0.001763176271222"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3778616.96467657","0.0118572513188509","0.00995695707857139","0.00995695707857139"," ","2019","4011380.4014323","0.24","785174.096734854"
"2","5028684.08822179","4161806.55639056","3218980.19401235","0.0388398855940611","0.0326152380005526","0.0326152380005526"," ","2020","3860045.63408248","0.24","774024.817748075"
"3","2025719.533197","4163343.39255034","3467153.74289749","0.108403822967941","0.0910305587205381","0.0910305587205381"," ","","","",""
"4","3558913.83628159","1564429.37284614","3271628.56450433","0.200472019955196","0.168343509340564","0.168343509340564"," ","","","",""
"5","1254604.8902811","2506740.68184003","1137892.23020835","0.262693465630429","0.22059307775192","0.22059307775192"," ","","","",""
"6","1140248.18370323","830379.236517535","1730465.24211848","0.315709393497243","0.265112444345026","0.265112444345026"," ","","","",""
"7","1380998.65609648","715722.004144895","548271.204670846","0.325073101698271","0.272975484281245","0.272975484281245"," ","","","",""
"8","1075660.15783485","858759.648141389","468865.686601689","0.325073101698271","0.272975484281245","0.272975484281245"," ","","","",""
"9","619201.793229243","668888.079350482","562568.888087621","0.325073101698271","0.272975484281245","0.272975484281245"," ","","","",""
"10","389104.221385326","385044.193732302","438185.031015","0.325073101698271","0.272975484281245","0.272975484281245"," ","","","",""
"11","344221.890613364","241960.412323419","252240.407896893","0.325073101698271","0.272975484281245","0.272975484281245"," ","","","",""
"12","274892.536745176","384989.866174449","410711.800239012","0.325073101698271","0.272975484281245","0.272975484281245"," ","","","",""
""
"f). Fbar(2019) = 0.23 "
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.00168971059325441","0.00168971059325441"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3778894.57353089","0.0118572513188509","0.00954208386696425","0.00954208386696425"," ","2019","4016666.06713319","0.23","755636.181895614"
"2","5028684.08822179","4161806.55639056","3220315.93972694","0.0388398855940611","0.0312562697505296","0.0312562697505296"," ","2020","3888024.70378295","0.23","750478.420176929"
"3","2025719.533197","4163343.39255034","3471868.69776338","0.108403822967941","0.087237618773849","0.087237618773849"," ","","","",""
"4","3558913.83628159","1564429.37284614","3284061.21842714","0.200472019955196","0.161329196451374","0.161329196451374"," ","","","",""
"5","1254604.8902811","2506740.68184003","1145901.82039135","0.262693465630429","0.211401699512257","0.211401699512257"," ","","","",""
"6","1140248.18370323","830379.236517535","1746443.92324873","0.315709393497243","0.254066092497317","0.254066092497317"," ","","","",""
"7","1380998.65609648","715722.004144895","554361.175359407","0.325073101698271","0.261601505769526","0.261601505769526"," ","","","",""
"8","1075660.15783485","858759.648141389","474228.998121292","0.325073101698271","0.261601505769526","0.261601505769526"," ","","","",""
"9","619201.793229243","668888.079350482","569004.061921559","0.325073101698271","0.261601505769526","0.261601505769526"," ","","","",""
"10","389104.221385326","385044.193732302","443197.389333635","0.325073101698271","0.261601505769526","0.261601505769526"," ","","","",""
"11","344221.890613364","241960.412323419","255125.762752327","0.325073101698271","0.261601505769526","0.261601505769526"," ","","","",""
"12","274892.536745176","384989.866174449","415409.894794457","0.325073101698271","0.261601505769526","0.261601505769526"," ","","","",""
""
"g). Fbar(2019) = Fbar(2018) "
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.00211058002332368","0.00211058002332368"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3777304.48695832","0.0118572513188509","0.0119188053095561","0.0119188053095561"," ","2019","3986501.93738604","0.287287898473486","921453.081437216"
"2","5028684.08822179","4161806.55639056","3212671.23404765","0.0388398855940611","0.0390415132641306","0.0390415132641306"," ","2020","3731603.75331233","0.287287898473486","877207.584150419"
"3","2025719.533197","4163343.39255034","3444944.2970028","0.108403822967941","0.108966574632044","0.108966574632044"," ","","","",""
"4","3558913.83628159","1564429.37284614","3213471.69288587","0.200472019955196","0.201512720917093","0.201512720917093"," ","","","",""
"5","1254604.8902811","2506740.68184003","1100768.33087888","0.262693465630429","0.264057173854781","0.264057173854781"," ","","","",""
"6","1140248.18370323","830379.236517535","1656863.24330669","0.315709393497243","0.317348320812715","0.317348320812715"," ","","","",""
"7","1380998.65609648","715722.004144895","520366.924663519","0.325073101698271","0.32676063839142","0.32676063839142"," ","","","",""
"8","1075660.15783485","858759.648141389","444313.853874995","0.325073101698271","0.32676063839142","0.32676063839142"," ","","","",""
"9","619201.793229243","668888.079350482","533110.350957981","0.325073101698271","0.32676063839142","0.32676063839142"," ","","","",""
"10","389104.221385326","385044.193732302","415239.769947173","0.325073101698271","0.32676063839142","0.32676063839142"," ","","","",""
"11","344221.890613364","241960.412323419","239032.010527309","0.325073101698271","0.32676063839142","0.32676063839142"," ","","","",""
"12","274892.536745176","384989.866174449","389205.156211733","0.325073101698271","0.32676063839142","0.32676063839142"," ","","","",""
""
"h). Fbar(2019) = 0.31 (Fpa)"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.00257129872886541","0.00257129872886541"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3775564.61295168","0.0118572513188509","0.0145205624062499","0.0145205624062499"," ","2019","3953802.869206","0.35","1093859.12150867"
"2","5028684.08822179","4161806.55639056","3204323.50795183","0.0388398855940611","0.0475638887508059","0.0475638887508059"," ","2020","3570663.14692894","0.35","995079.605756055"
"3","2025719.533197","4163343.39255034","3415709.93820734","0.108403822967941","0.132752898134118","0.132752898134118"," ","","","",""
"4","3558913.83628159","1564429.37284614","3137936.92421841","0.200472019955196","0.245500951121656","0.245500951121656"," ","","","",""
"5","1254604.8902811","2506740.68184003","1053397.00868989","0.262693465630429","0.321698238388217","0.321698238388217"," ","","","",""
"6","1140248.18370323","830379.236517535","1564060.20839642","0.315709393497243","0.38662231466983","0.38662231466983"," ","","","",""
"7","1380998.65609648","715722.004144895","485539.281211245","0.325073101698271","0.398089247910148","0.398089247910148"," ","","","",""
"8","1075660.15783485","858759.648141389","413725.446568666","0.325073101698271","0.398089247910148","0.398089247910148"," ","","","",""
"9","619201.793229243","668888.079350482","496408.824746039","0.325073101698271","0.398089247910148","0.398089247910148"," ","","","",""
"10","389104.221385326","385044.193732302","386652.943085583","0.325073101698271","0.398089247910148","0.398089247910148"," ","","","",""
"11","344221.890613364","241960.412323419","222576.056175463","0.325073101698271","0.398089247910148","0.398089247910148"," ","","","",""
"12","274892.536745176","384989.866174449","362410.66006875","0.325073101698271","0.398089247910148","0.398089247910148"," ","","","",""
""
"i). Fbar(2019) = F2018"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.0033446327415841","0.0033446327415841"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3772645.969108","0.0118572513188509","0.0188877114529546","0.0188877114529546"," ","2019","3899660.7832351","0.455264667","1363357.566925"
"2","5028684.08822179","4161806.55639056","3190360.26158002","0.0388398855940611","0.0618690227810305","0.0618690227810305"," ","2020","3322684.39847508","0.455264667","1151716.31018454"
"3","2025719.533197","4163343.39255034","3367195.57925255","0.108403822967941","0.172679154178041","0.172679154178041"," ","","","",""
"4","3558913.83628159","1564429.37284614","3015118.99611982","0.200472019955196","0.319336882173097","0.319336882173097"," ","","","",""
"5","1254604.8902811","2506740.68184003","978420.499601856","0.262693465630429","0.418450975355138","0.418450975355138"," ","","","",""
"6","1140248.18370323","830379.236517535","1419823.26249083","0.315709393497243","0.502901369551227","0.502901369551227"," ","","","",""
"7","1380998.65609648","715722.004144895","432240.064325208","0.325073101698271","0.517817053960269","0.517817053960269"," ","","","",""
"8","1075660.15783485","858759.648141389","367041.446617073","0.325073101698271","0.517817053960269","0.517817053960269"," ","","","",""
"9","619201.793229243","668888.079350482","440394.988172493","0.325073101698271","0.517817053960269","0.517817053960269"," ","","","",""
"10","389104.221385326","385044.193732302","343023.753423702","0.325073101698271","0.517817053960269","0.517817053960269"," ","","","",""
"11","344221.890613364","241960.412323419","197460.993319408","0.325073101698271","0.517817053960269","0.517817053960269"," ","","","",""
"12","274892.536745176","384989.866174449","321516.923951172","0.325073101698271","0.517817053960269","0.517817053960269"," ","","","",""
""
"j). Fbar(2019) = 0.43 (Flim)"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.00352635254244399","0.00352635254244399"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3771960.46692033","0.0118572513188509","0.0199139141571428","0.0199139141571428"," ","2019","3887072.22961389","0.48","1423288.48668043"
"2","5028684.08822179","4161806.55639056","3187087.98454919","0.0388398855940611","0.0652304760011052","0.0652304760011052"," ","2020","3268154.71474111","0.48","1182081.44400347"
"3","2025719.533197","4163343.39255034","3355895.91112288","0.108403822967941","0.182061117441076","0.182061117441076"," ","","","",""
"4","3558913.83628159","1564429.37284614","2986963.54369752","0.200472019955196","0.336687018681128","0.336687018681128"," ","","","",""
"5","1254604.8902811","2506740.68184003","961591.187969897","0.262693465630429","0.441186155503841","0.441186155503841"," ","","","",""
"6","1140248.18370323","830379.236517535","1387907.50481754","0.315709393497243","0.530224888690052","0.530224888690053"," ","","","",""
"7","1380998.65609648","715722.004144895","420589.634838878","0.325073101698271","0.545950968562489","0.545950968562489"," ","","","",""
"8","1075660.15783485","858759.648141389","356859.040987879","0.325073101698271","0.545950968562489","0.545950968562489"," ","","","",""
"9","619201.793229243","668888.079350482","428177.620221362","0.325073101698271","0.545950968562489","0.545950968562489"," ","","","",""
"10","389104.221385326","385044.193732302","333507.64283183","0.325073101698271","0.545950968562489","0.545950968562489"," ","","","",""
"11","344221.890613364","241960.412323419","191983.061743961","0.325073101698271","0.545950968562489","0.545950968562489"," ","","","",""
"12","274892.536745176","384989.866174449","312597.452413296","0.325073101698271","0.545950968562489","0.545950968562489"," ","","","",""
""
"k). Fbar(2019) = 0.21 (Fmsy)"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.00154277923731925","0.00154277923731925"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3779449.85242746","0.0118572513188509","0.00871233744374996","0.00871233744374997"," ","2019","4027263.2826068","0.21","695788.064621362"
"2","5028684.08822179","4161806.55639056","3222989.09422637","0.0388398855940611","0.0285383332504835","0.0285383332504835"," ","2020","3944865.03799598","0.21","701467.469445442"
"3","2025719.533197","4163343.39255034","3481317.85170372","0.108403822967941","0.0796517388804708","0.0796517388804709"," ","","","",""
"4","3558913.83628159","1564429.37284614","3309068.44337394","0.200472019955196","0.147300570672994","0.147300570672994"," ","","","",""
"5","1254604.8902811","2506740.68184003","1162090.53542368","0.262693465630429","0.19301894303293","0.19301894303293"," ","","","",""
"6","1140248.18370323","830379.236517535","1778845.27726235","0.315709393497243","0.231973388801898","0.231973388801898"," ","","","",""
"7","1380998.65609648","715722.004144895","566744.802765236","0.325073101698271","0.238853548746089","0.238853548746089"," ","","","",""
"8","1075660.15783485","858759.648141389","485140.374225821","0.325073101698271","0.238853548746089","0.238853548746089"," ","","","",""
"9","619201.793229243","668888.079350482","582096.085710123","0.325073101698271","0.238853548746089","0.238853548746089"," ","","","",""
"10","389104.221385326","385044.193732302","453394.769550202","0.325073101698271","0.238853548746089","0.238853548746089"," ","","","",""
"11","344221.890613364","241960.412323419","260995.865935333","0.325073101698271","0.238853548746089","0.238853548746089"," ","","","",""
"12","274892.536745176","384989.866174449","424967.92186071","0.325073101698271","0.238853548746089","0.238853548746089"," ","","","",""
""
"l). Fbar(2019) = 0.26"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.00191010762715716","0.00191010762715716"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3778061.80814834","0.0118572513188509","0.0107867035017857","0.0107867035017857"," ","2019","4000834.8781567","0.26","843490.236205669"
"2","5028684.08822179","4161806.55639056","3216310.36450389","0.0388398855940611","0.0353331745005986","0.0353331745005987"," ","2020","3804952.65770106","0.26","819271.79112411"
"3","2025719.533197","4163343.39255034","3457743.03383643","0.108403822967941","0.0986164386139163","0.0986164386139163"," ","","","",""
"4","3558913.83628159","1564429.37284614","3246904.279451","0.200472019955196","0.182372135118944","0.182372135118944"," ","","","",""
"5","1254604.8902811","2506740.68184003","1122040.61409856","0.262693465630429","0.238975834231247","0.238975834231247"," ","","","",""
"6","1140248.18370323","830379.236517535","1698945.12194004","0.315709393497243","0.287205148040445","0.287205148040445"," ","","","",""
"7","1380998.65609648","715722.004144895","536291.233645331","0.325073101698271","0.295723441304682","0.295723441304682"," ","","","",""
"8","1075660.15783485","858759.648141389","458320.347312657","0.325073101698271","0.295723441304682","0.295723441304682"," ","","","",""
"9","619201.793229243","668888.079350482","549916.053879736","0.325073101698271","0.295723441304682","0.295723441304682"," ","","","",""
"10","389104.221385326","385044.193732302","428329.735659694","0.325073101698271","0.295723441304682","0.295723441304682"," ","","","",""
"11","344221.890613364","241960.412323419","246567.225235658","0.325073101698271","0.295723441304682","0.295723441304682"," ","","","",""
"12","274892.536745176","384989.866174449","401474.410071006","0.325073101698271","0.295723441304682","0.295723441304682"," ","","","",""
""
"m). Fbar(2019) = 0.27"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.00198357330512475","0.00198357330512475"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3777784.26047144","0.0118572513188509","0.0112015767133928","0.0112015767133928"," ","2019","3995574.99028693","0.27","872273.421818692"
"2","5028684.08822179","4161806.55639056","3214976.28025049","0.0388398855940611","0.0366921427506217","0.0366921427506217"," ","2020","3777832.0626181","0.27","841000.350935987"
"3","2025719.533197","4163343.39255034","3453047.26226163","0.108403822967941","0.102409378560605","0.102409378560605"," ","","","",""
"4","3558913.83628159","1564429.37284614","3234612.29262677","0.200472019955196","0.189386448008135","0.189386448008135"," ","","","",""
"5","1254604.8902811","2506740.68184003","1114197.8082598","0.262693465630429","0.248167212470911","0.248167212470911"," ","","","",""
"6","1140248.18370323","830379.236517535","1683401.02000817","0.315709393497243","0.298251499888155","0.298251499888155"," ","","","",""
"7","1380998.65609648","715722.004144895","530399.771474816","0.325073101698271","0.3070974198164","0.3070974198164"," ","","","",""
"8","1075660.15783485","858759.648141389","453136.955305529","0.325073101698271","0.3070974198164","0.3070974198164"," ","","","",""
"9","619201.793229243","668888.079350482","543696.756624039","0.325073101698271","0.3070974198164","0.3070974198164"," ","","","",""
"10","389104.221385326","385044.193732302","423485.523655466","0.325073101698271","0.3070974198164","0.3070974198164"," ","","","",""
"11","344221.890613364","241960.412323419","243778.663497127","0.325073101698271","0.3070974198164","0.3070974198164"," ","","","",""
"12","274892.536745176","384989.866174449","396933.919428532","0.325073101698271","0.3070974198164","0.3070974198164"," ","","","",""
""
"n). Fbar(2019) = 0.28"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.00205703898309233","0.00205703898309233"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3777506.73318402","0.0118572513188509","0.011616449925","0.011616449925"," ","2019","3990323.66477852","0.28","900809.949328084"
"2","5028684.08822179","4161806.55639056","3213642.74935811","0.0388398855940611","0.0380511110006447","0.0380511110006447"," ","2020","3750991.00519702","0.28","862150.437320634"
"3","2025719.533197","4163343.39255034","3448357.8677572","0.108403822967941","0.106202318507294","0.106202318507294"," ","","","",""
"4","3558913.83628159","1564429.37284614","3222366.84026338","0.200472019955196","0.196400760897325","0.196400760897325"," ","","","",""
"5","1254604.8902811","2506740.68184003","1106409.82183011","0.262693465630429","0.257358590710574","0.257358590710574"," ","","","",""
"6","1140248.18370323","830379.236517535","1667999.13520959","0.315709393497243","0.309297851735864","0.309297851735864"," ","","","",""
"7","1380998.65609648","715722.004144895","524573.030344528","0.325073101698271","0.318471398328119","0.318471398328119"," ","","","",""
"8","1075660.15783485","858759.648141389","448012.185074321","0.325073101698271","0.318471398328119","0.318471398328119"," ","","","",""
"9","619201.793229243","668888.079350482","537547.796755444","0.325073101698271","0.318471398328119","0.318471398328119"," ","","","",""
"10","389104.221385326","385044.193732302","418696.097457566","0.325073101698271","0.318471398328119","0.318471398328119"," ","","","",""
"11","344221.890613364","241960.412323419","241021.639107334","0.325073101698271","0.318471398328119","0.318471398328119"," ","","","",""
"12","274892.536745176","384989.866174449","392444.779643691","0.325073101698271","0.318471398328119","0.318471398328119"," ","","","",""
""
